ref,title,author,date,canon_degree,glob_word,glob_book,glob_part,glob_chapter,glob_paragraph,glob_sentence,glob_av_word_per_sent,glob_name,glob_verb,glob_adverb,glob_adj,glob_coord,glob_sub,glob_il,glob_ils,glob_elle,glob_elles,glob_je,glob_nous,glob_etat,glob_voc,first_word,first_paragraph,first_sentence,first_av_word_per_sent,first_name,first_verb,first_adverb,first_adj,first_coord,first_sub,first_il,first_ils,first_elle,first_elles,first_je,first_nous,first_etat,first_voc,first_ten_words,first_ten_sentence,first_ten_av_word_per_sent,first_ten_name,first_ten_verb,first_ten_adverb,first_ten_adj,first_ten_coord,first_ten_sub,first_ten_il,first_ten_ils,first_ten_elle,first_ten_elles,first_ten_je,first_ten_nous,first_ten_etat,first_ten_voc,second_ten_word,second_ten_sentence,second_ten_av_word_per_sent,second_ten_name,second_ten_verb,second_ten_adverb,second_ten_adj,second_ten_coord,second_ten_sub,second_ten_il,second_ten_ils,second_ten_elle,second_ten_elles,second_ten_je,second_ten_nous,second_ten_etat,second_ten_voc,last_ten_word,last_ten_sentence,last_ten_av_word_per_sent,last_ten_name,last_ten_verb,last_ten_adverb,last_ten_adj,last_ten_coord,last_ten_sub,last_ten_il,last_ten_ils,last_ten_elle,last_ten_elles,last_ten_je,last_ten_nous,last_ten_etat,last_ten_voc,mid_word,mid_paragraph,mid_sentence,mid_av_word_per_sent,mid_name,mid_verb,mid_adverb,mid_adj,mid_coord,mid_sub,mid_il,mid_ils,mid_elle,mid_elles,mid_je,mid_nous,mid_etat,mid_voc,last_word,last_paragraph,last_sentence,last_av_word_per_sent,last_name,last_verb,last_adverb,last_adj,last_coord,last_sub,last_il,last_ils,last_elle,last_elles,last_je,last_nous,last_etat,last_voc,titled_books,titled_parts,titled_chapters,numbered_books,numbered_parts,numbered_chapters
1892_Mendes-Catulle_Luscignole.xml,Luscignole    ,"Mendès, Catulle",2013,empty,34096,3,0,18,21,838,38,87,4405,2015,2203,997,360,337,76,491,15,61,7,643,3593,1544,1,22,56,4,138,69,135,49,14,4,1,5,2,2,0,18,560,3410,48,69,17,374,166,272,102,32,11,5,35,4,2,1,55,967,3410,66,50,7,411,211,226,74,47,47,4,47,1,1,0,55,908,3406,107,31,5,513,235,179,94,49,41,17,65,3,22,0,89,788,4449,1,86,49,43,500,232,298,161,34,24,6,48,2,0,0,79,1187,584,1,19,29,5,88,34,30,19,9,2,5,11,0,0,0,20,227,3,0,0,0,0,0
1878_Loti-Pierre_Aziyade.xml,Aziyadé    ,"Loti, Pierre",1879,empty,60413,0,5,158,1571,1938,23,345,8575,3137,3990,1993,477,282,35,263,18,494,338,1590,4694,110,5,4,35,0,13,0,11,0,2,0,0,0,0,0,0,2,70,6041,211,27,56,872,333,394,206,43,40,2,23,3,51,28,182,1288,6041,198,29,77,846,251,425,187,37,40,5,13,2,53,22,153,1339,6044,182,32,74,849,350,423,187,61,24,1,39,1,54,37,163,1191,630,17,19,27,9,82,32,40,18,3,0,0,0,0,2,9,13,256,83,6,3,-22,8,8,2,7,0,0,0,0,0,0,0,0,1,54,0,5,158,0,1,158
1847_Achard-Amedee_Belle-Rose.xml,Belle-Rose    ,"Achard, Amédée",1847,empty,198068,0,0,53,5241,8633,19,395,32893,8860,7157,5909,1741,2233,234,635,55,1175,336,4648,6058,4882,101,192,22,28,734,237,212,161,43,75,6,3,0,21,6,90,1057,19807,833,22,60,3178,976,747,632,189,255,22,18,2,119,32,405,2262,19807,928,20,66,3318,986,726,623,178,260,19,59,6,120,20,455,2168,19805,903,20,134,3103,743,716,633,166,204,30,36,6,40,51,426,2286,3152,103,132,15,28,571,166,108,98,30,26,0,15,1,44,5,99,606,5298,135,259,18,30,835,180,227,202,55,56,6,20,0,10,5,131,1026,0,0,53,0,0,53
2013_Rolin-Jean_Ormuz.xml,Ormuz    ,"Rolin, Jean",2013,empty,46721,0,0,0,96,667,69,438,5870,2504,2409,1247,393,463,58,79,26,231,142,904,5061,4882,101,192,22,28,734,237,212,161,43,75,6,3,0,21,6,90,1057,4672,76,60,87,520,237,249,114,33,41,2,16,2,14,12,71,1251,4672,66,68,57,566,261,265,120,38,55,1,2,0,26,20,90,1210,4673,63,71,43,627,264,226,118,50,70,4,10,2,12,24,102,1208,3152,103,132,15,28,571,166,108,98,30,26,0,15,1,44,5,99,606,5298,135,259,18,30,835,180,227,202,55,56,6,20,0,10,5,131,1026,0,0,0,0,0,0
1883_Sirven-Alfred_La-Bigame-roman-contemporain-par-Alfred-Sirven-(1883).xml,"La Bigame, roman contemporain, par Alfred Sirven (1883)    ","Sirven, Alfred",1883,empty,111671,0,3,24,3719,4898,13,188,18265,7897,5405,3330,916,1104,124,848,33,951,320,2864,6006,2192,84,101,10,3,338,161,118,81,12,19,5,10,0,5,5,37,607,11167,410,25,34,1745,733,543,360,102,123,11,107,3,66,18,267,1783,11167,351,30,40,1772,796,609,346,83,215,27,56,0,24,12,240,1954,11168,588,18,34,1783,667,567,322,104,106,9,99,4,85,6,277,1936,1780,90,120,8,11,308,125,69,47,10,9,0,29,0,14,1,41,566,2407,60,93,18,17,346,119,153,69,20,19,0,13,1,1,0,61,778,0,3,24,0,0,0
1845_Walsh-Joseph-Alexis_Les-Veillees-de-voyage.xml,Les Veillées de voyage    ,"Walsh, Joseph-Alexis",1845,empty,105229,0,0,7,1858,3248,26,472,16523,5125,4863,3619,1051,929,205,589,85,540,389,2554,5400,6229,121,208,25,33,979,329,261,197,69,61,13,24,3,33,57,123,1055,10523,282,36,97,1513,554,491,373,99,91,10,30,8,63,117,210,1636,10523,360,28,50,1700,521,421,364,108,100,33,31,7,42,32,251,1444,10522,269,38,54,1647,523,490,395,144,114,21,103,3,56,39,255,1557,2897,40,89,26,15,453,140,146,96,31,29,11,10,2,1,14,83,683,2752,37,76,26,51,425,91,123,102,18,28,9,3,1,8,5,69,704,0,0,0,0,0,0
2010_Bauchau-Henry_Deluge.xml,Déluge    ,"Bauchau, Henry",2010,empty,45752,0,0,11,930,2482,16,72,8579,3212,1593,1287,396,779,67,118,18,641,322,1371,2903,3090,99,182,14,10,607,202,121,74,28,69,3,13,0,38,11,105,638,4575,266,16,14,877,318,180,115,43,93,5,17,2,61,23,146,834,4575,273,15,12,830,293,167,116,32,101,8,15,2,40,34,133,801,4577,218,20,16,790,245,173,156,31,56,3,12,0,43,47,112,895,6247,111,344,16,24,1201,469,186,178,59,146,10,11,0,84,39,193,902,1434,19,65,22,10,255,63,50,46,10,18,2,5,0,25,6,43,393,0,0,11,0,0,11
1953_Simonin-Albert_Touchez-pas-au-grisbi.xml,Touchez pas au grisbi    ,"Simonin, Albert",1953,empty,73439,0,0,0,1762,2744,20,275,13192,4408,2986,1224,627,595,123,268,32,655,136,1767,5370,3090,99,182,14,10,607,202,121,74,28,69,3,13,0,38,11,105,638,7344,291,24,77,1240,419,316,108,59,37,12,21,6,59,17,172,1512,7344,260,27,57,1317,462,290,119,70,66,7,28,4,75,4,187,1481,7343,285,24,38,1267,428,323,105,59,44,5,36,2,77,10,163,1401,6247,111,344,16,24,1201,469,186,178,59,146,10,11,0,84,39,193,902,1434,19,65,22,10,255,63,50,46,10,18,2,5,0,25,6,43,393,0,0,0,0,0,0
1855_Ulbach-Louis_L-amour-et-la-mort.xml,L'amour et la mort    ,"Ulbach, Louis",1855,empty,57395,0,2,13,1096,2066,23,82,9292,3349,3007,1739,570,613,32,324,10,334,113,1251,4565,4222,98,138,25,22,629,216,262,110,41,25,1,22,1,25,6,110,1015,5740,188,29,23,850,296,351,151,55,38,2,28,2,32,10,134,1238,5740,171,32,19,861,352,328,164,74,21,3,83,3,12,12,114,1363,5735,259,21,9,1074,351,252,173,42,56,1,25,0,47,20,159,1082,4865,68,148,29,17,781,297,280,169,40,49,3,41,0,27,8,115,1139,4703,117,210,18,9,878,297,206,143,30,49,1,15,0,38,16,133,954,0,2,13,0,1,13
1859_Segur-comtesse-de_Les-Vacances.xml,Les Vacances    ,"Ségur, comtesse de",1859,empty,51488,0,0,12,207,2402,19,92,8990,2952,2005,1856,479,490,189,205,30,510,356,1265,2686,1927,16,108,15,13,308,119,88,86,4,16,11,7,6,14,15,45,463,5149,279,17,18,884,300,194,235,22,54,33,13,8,25,48,110,812,5149,245,20,20,971,260,157,185,35,31,20,28,3,44,24,150,841,5147,225,21,38,857,310,229,172,53,39,17,58,2,56,21,131,759,5731,20,223,23,11,1033,280,250,218,51,77,28,5,2,65,75,91,850,4006,16,158,24,37,658,218,183,130,43,25,14,57,2,25,11,100,679,0,0,12,0,0,12
